"name","value","value1"
"encntrid_63668","${RCALoadApptForPutAction_830_0.instanceJson.encntrid}","143886847"
"schedulingcomment_63667","${RCALoadApptForPutAction_830_0.instanceJson.schedulingcomment}"," "
"sourceversionnumber_1756","${RetrievePatientsByIds_124_0.instanceJson.patients[0].person[0].sourceversionnumber}"," "
"facility_org_id_1708","${PM_SCH_GET_ENCOUNTERS_106_0.instanceJson.encounter[0].facility_org_id}","1938077"
"field_type_flag_6294","${OrderFormatsByCriteria_272_0.instanceJson.order_formats[0].order_entry_fields[0].field_type_flag}","8"
"external_service_id_3833","${GetExternalServicesByIds_217_0.instanceJson.external_services[0].external_service_id}","2960400502"
"field_3835","${GetExternalServicesByIds_217_0.instanceJson.external_services[0].external_service_parameters[0].field}","971729959"
"alias_1772","${RetrievePatientsByIds_124_0.instanceJson.patients[0].aliases[0].alias}","3612178900"
"external_service_id_23667","${GetExternalServicesByIds_610_0.instanceJson.external_services[0].external_service_id}","1267160390"
"field_3821","${GetExternalServicesByIds_213_0.instanceJson.external_services[0].external_service_parameters[0].field}","971723825"
"external_service_id_3817","${GetExternalServicesByIds_213_0.instanceJson.external_services[0].external_service_id}","2924659583"
"clientorganizationid_17995","${RetrieveEncountersByIds_493_0.instanceJson.encounters[0].encounter[0].clientorganizationid}","1938077"
"path_1646","${GetProfile_94_0.instanceJson.path}","/revenuecycle/ares/us/acute_ambulatory/73dabc63-bc20-42b3-bcf9-182c60285d35/personsearch/person/quicksearch/com.cerner.revenuecycle.appointments"
"healthplanrelationshipid_2243","${RetrievePatientsByIds_163_0.instanceJson.patients[0].healthplanprofiles[0].profileplanrelationships[0].healthplanrelationshipid}","3612178978"
"transaction_type_meaning_23619","${GetValidEligibilityPayerOrganizationsByTypes_598_0.instanceJson.transaction_types[0].transaction_type_meaning}","MED_ELIG"
"transaction_type_meaning_23620","${GetValidEligibilityPayerOrganizationsByTypes_598_0.instanceJson.transaction_types[1].transaction_type_meaning}","FC_MED_ELIG"
"encntr_id_24711","${GetAllEncounterAppointments_677_0.instanceJson.encounterappointments[0].encntr_id}","143886847"
"rca_rule_service_id_3856","${rca_call_external_service_228_0.instanceJson.debug_data.rca_rule_service_id}","2960491024"
"field_3855","${GetExternalServicesByIds_227_0.instanceJson.external_services[0].external_service_parameters[0].field}","971731993"
"statecd_3891","${RetrievePatientsByIds_239_0.instanceJson.patients[0].addresses[0].statecd}","309244"
"code_set_number_3351","${RetrieveTransientFields_204_0.instanceJson.results[18].transient_fields[23].code_set_number}","62"
"rca_rule_service_id_3860","${rca_call_external_service_230_0.instanceJson.debug_data.rca_rule_service_id}","2960556119"
"sch_lock_id_22126","${PostSchedulingLocks_537_0.instanceJson.reppostlocks[0].sch_lock_id}","444125060"
"typecd_23746","${RetrieveEncountersByIds_621_0.instanceJson.encounters[1].personnelrelationships[5].typecd}","409491975"
"external_service_id_24726","${GetExternalServicesByIds_682_0.instanceJson.external_services[0].external_service_id}","2778832750"
"event_id_18025","${GetAppointmentOrders_498_0.instanceJson.orders[0].event_id}","60606498"
"beg_effective_dt_tm_8993","${GetFlexPersonToken_293_0.instanceJson.person_tokens[0].tokens[11].beg_effective_dt_tm}","2024-07-15T19:35:53Z"
"beg_effective_dt_tm_8990","${GetFlexPersonToken_293_0.instanceJson.person_tokens[0].tokens[10].beg_effective_dt_tm}","2024-06-25T13:00:23Z"
"begineffectivedatetime_3895","${RetrievePatientsByIds_239_0.instanceJson.patients[0].addresses[1].begineffectivedatetime}","2024-07-22T15:28:47Z"
"begineffectivedatetime_3898","${RetrievePatientsByIds_239_0.instanceJson.patients[0].guarantorrelationships[0].begineffectivedatetime}","2024-07-15T19:35:46Z"
"beg_effective_dt_tm_8970","${GetFlexPersonToken_293_0.instanceJson.person_tokens[0].tokens[0].beg_effective_dt_tm}","2024-06-25T12:56:19Z"
"string_value_8981","${GetFlexPersonToken_293_0.instanceJson.person_tokens[0].tokens[6].string_value}","923 W 7th StreetLittle Rock30924472201"
"beg_effective_dt_tm_9014","${GetFlexPersonToken_293_0.instanceJson.person_tokens[0].tokens[22].beg_effective_dt_tm}","2024-08-19T21:36:02Z"
"beg_effective_dt_tm_9011","${GetFlexPersonToken_293_0.instanceJson.person_tokens[0].tokens[21].beg_effective_dt_tm}","2024-08-19T21:42:42Z"
"gendercd_1749","${RetrievePatientsByIds_124_0.instanceJson.patients[0].person[0].gendercd}","363"
"creationdatetime_1745","${RetrievePatientsByIds_124_0.instanceJson.patients[0].person[0].creationdatetime}","2024-06-25T12:56:12Z"
"assignmentofbenefitscd_23703","${RetrieveEncountersByIds_621_0.instanceJson.encounters[0].healthplanrelationships[0].healthplaninformation[0].assignmentofbenefitscd}","684152"
"conversationuuid_22605","${GetConversationsByIds_550_0.instanceJson.conversations[0].conversationuuid}","af50a80e-8ad6-423a-bf07-8c9f883d6cf5"
"medicalservicecd_23714","${RetrieveEncountersByIds_621_0.instanceJson.encounters[1].encounter[0].medicalservicecd}","107995769"
"admittypecd_23717","${RetrieveEncountersByIds_621_0.instanceJson.encounters[1].encounter[0].admittypecd}","670840"
"version_23081","${RetrievePatientsByIds_646_0.instanceJson.patients[0].version}","8"
"admitsourcecd_23716","${RetrieveEncountersByIds_621_0.instanceJson.encounters[1].encounter[0].admitsourcecd}","106679635"
"person_id_32185","${ocx_get_providers_by_name_793_0.instanceJson.prsnl[1].person_id}","40168660"
"typecd_23708","${RetrieveEncountersByIds_621_0.instanceJson.encounters[1].encounter[0].typecd}","309309"
"typemeaning_23730","${RetrieveEncountersByIds_621_0.instanceJson.encounters[1].personnelrelationships[1].typemeaning}","ATTENDDOC"
"locationid_18129","${GetPatientTrackingApptListByCriteria_504_0.instanceJson.patienttrackinglist[0].appointmentinformation.locationid}","315282151"
"healthplanfinancialclasscd_2240","${RetrievePatientsByIds_163_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].subscriberhealthplaninformation[0].healthplanfinancialclasscd}","385674929"
"alias_17837","${PM_GET_ALIAS_469_0.instanceJson.alias_info[0].alias}","54219397"
"booking_id_11591","${sch_check_times_421_0.instanceJson.qual[0].booking_id}","267018902"
"booking_id_11597","${sch_check_times_421_0.instanceJson.qual[1].booking_id}","267018903"
"resource_list_id_6367","${GetAppointmentTypeDetailsByAppointmentTypes_274_0.instanceJson.appointment_types[0].locations[3].resource_list_id}","1637061"
"field_3863","${GetExternalServicesByIds_231_0.instanceJson.external_services[0].external_service_parameters[0].field}","971732045"
"external_service_id_3861","${GetExternalServicesByIds_231_0.instanceJson.external_services[0].external_service_id}","3006872200"
"external_service_id_25002","${GetExternalServicesByIds_781_0.instanceJson.external_services[0].external_service_id}","341972965"
"key_25005","${GetExternalServicesByIds_781_0.instanceJson.external_services[0].external_service_parameters[0].key}","LOC_NURSE_UNIT_CD"
"external_service_id_25014","${GetExternalServicesByIds_785_0.instanceJson.external_services[0].external_service_id}","1267084663"
"external_service_id_3845","${GetExternalServicesByIds_223_0.instanceJson.external_services[0].external_service_id}","2960484109"
"field_3847","${GetExternalServicesByIds_223_0.instanceJson.external_services[0].external_service_parameters[0].field}","971731943"
"external_service_id_3853","${GetExternalServicesByIds_227_0.instanceJson.external_services[0].external_service_id}","2960491024"
"deceasedcd_1753","${RetrievePatientsByIds_124_0.instanceJson.patients[0].person[0].deceasedcd}","684730"
"address_id_2625","${RetrievePatientsByIds_239_0.instanceJson.patients[0].addresses[1].id}","381486828"
"address_id_2626","${RetrievePatientsByIds_239_0.instanceJson.patients[0].addresses[0].id}","381486825"
"attributedescriptorid_2208","${RetrievePatientsByIds_163_0.instanceJson.patients[0].patient[0].userdefinedattributes[1].attributedescriptorid}","34506255"
"attributedescriptorid_21991","${RetrievePatientsByIds_510_0.instanceJson.patients[0].patient[0].userdefinedattributes[3].attributedescriptorid}","29302365"
"attributedescriptorid_21990","${RetrievePatientsByIds_510_0.instanceJson.patients[0].patient[0].userdefinedattributes[2].attributedescriptorid}","391301695"
"conversationuuid_22148","${GetConversationsByIds_549_0.instanceJson.conversations[0].conversationuuid}","aa566214-cf44-470e-8e23-edfee4f5e9c3"
"version_2026","${RetrievePatientsByIds_565_0.instanceJson.patients[0].version}","7"
"typemeaning_17663","${RetrievePatientsByIds_449_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].healthplanaddresses[0].typemeaning}","BUSINESS"
"attributedescriptorid_21988","${RetrievePatientsByIds_510_0.instanceJson.patients[0].patient[0].userdefinedattributes[0].attributedescriptorid}","391306319"
"attributedescriptorid_21989","${RetrievePatientsByIds_510_0.instanceJson.patients[0].patient[0].userdefinedattributes[1].attributedescriptorid}","391306377"
"beg_effective_dt_tm_17687","${EEM_GET_HEALTHPLAN_BY_ID_455_0.instanceJson.entity_qual[0].alias_qual[0].beg_effective_dt_tm}","2020-07-06T20:56:41Z"
"phone_num_17718","${EEM_GET_HEALTHPLAN_BY_ID_455_0.instanceJson.entity_qual[0].phone_qual[0].phone_num}","4221437966"
"facilityorganizationid_18006","${RetrieveEncountersByIds_493_0.instanceJson.encounters[0].encounter[0].locationinformation[0].facilityorganizationid}","1938077"
"attributedescriptorid_2221","${RetrievePatientsByIds_163_0.instanceJson.patients[0].patient[0].userdefinedattributes[12].attributedescriptorid}","40132885"
"attributedescriptorid_2211","${RetrievePatientsByIds_163_0.instanceJson.patients[0].patient[0].userdefinedattributes[3].attributedescriptorid}","34506233"
"typecd_23731","${RetrieveEncountersByIds_621_0.instanceJson.encounters[1].personnelrelationships[1].typecd}","1119"
"external_service_id_3837","${GetExternalServicesByIds_219_0.instanceJson.external_services[0].external_service_id}","2960406483"
"field_3839","${GetExternalServicesByIds_219_0.instanceJson.external_services[0].external_service_parameters[0].field}","971729973"
"ethnicgroupcd_1752","${RetrievePatientsByIds_124_0.instanceJson.patients[0].person[0].ethnicgroupcd}","312506"
"resource_mnemonic_11310","${GetAppointmentAvailability_413_0.instanceJson.result_items[0].suggestions[8].participants[0].participant_resource.resource_mnemonic}","668 PC Float Provider Eleven"
"role_description_11253","${GetAppointmentAvailability_413_0.instanceJson.result_items[0].suggestions[0].participants[0].participant_role.role_description}","Providers"
"organizationid_23474","${RetrievePatientsByIds_565_0.instanceJson.patients[0].consents[0].organizationid}","1938077"
"disp_value_17941","${GetPatientAppointment_491_0.instanceJson.appointments[0].displays[4].disp_value}","381456571"
"field_3831","${GetExternalServicesByIds_215_0.instanceJson.external_services[0].external_service_parameters[0].field}","971729945"
"external_service_id_3829","${GetExternalServicesByIds_215_0.instanceJson.external_services[0].external_service_id}","2960411625"
"external_service_id_3782","${GetExternalServicesByIds_207_0.instanceJson.external_services[0].external_service_id}","1185854718"
"city_17665","${RetrievePatientsByIds_449_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].healthplanaddresses[0].city}","FLDBXHPMUH"
"postalcode_17668","${RetrievePatientsByIds_449_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].healthplanaddresses[0].postalcode}","702700006"
"begineffectivedate_2233","${RetrievePatientsByIds_163_0.instanceJson.patients[0].healthplanrelationships[0].healthplaninformation[0].begineffectivedate}","2020-07-06"
"last_1765","${RetrievePatientsByIds_124_0.instanceJson.patients[0].currentname[0].last}","VAAmbRegEndPtOne"
"inverserelationcd_17662","${RetrievePatientsByIds_449_0.instanceJson.patients[0].personrelationships[0].inverserelationcd}","152"
"subscribermembernumber_2241","${RetrievePatientsByIds_163_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].subscriberhealthplaninformation[0].subscribermembernumber}","333224444"
"first_1764","${RetrievePatientsByIds_124_0.instanceJson.patients[0].currentname[0].first}","Osvaldo"
"begineffectivedatetime_1768","${RetrievePatientsByIds_124_0.instanceJson.patients[0].names[0].begineffectivedatetime}","2024-06-25T12:56:12Z"
"state_17666","${RetrievePatientsByIds_449_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].healthplanaddresses[0].state}","GI"
"relationcd_17661","${RetrievePatientsByIds_449_0.instanceJson.patients[0].personrelationships[0].relationcd}","152"
"alias_entity_alias_type_disp_17563","${PM_GET_ALIAS_POOL_446_0.instanceJson.org[0].alias[0].alias_entity_alias_type_disp}","FIN NBR"
"entitytype_3897","${RetrievePatientsByIds_239_0.instanceJson.patients[0].guarantorrelationships[0].entitytype}","PERSON"
"country_17669","${RetrievePatientsByIds_449_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].healthplanaddresses[0].country}","ED"
"inverserelationcd_3901","${RetrievePatientsByIds_239_0.instanceJson.patients[0].guarantorrelationships[0].guarantorpersonrelationship[0].inverserelationcd}","158"
"version_1744","${RetrievePatientsByIds_124_0.instanceJson.patients[0].version}","6"
"middle_1766","${RetrievePatientsByIds_124_0.instanceJson.patients[0].currentname[0].middle}","Kameela"
"statecd_17667","${RetrievePatientsByIds_449_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].healthplanaddresses[0].statecd}","309252"
"relationcd_3900","${RetrievePatientsByIds_239_0.instanceJson.patients[0].guarantorrelationships[0].guarantorpersonrelationship[0].relationcd}","158"
"streetaddressline1_17664","${RetrievePatientsByIds_449_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].healthplanaddresses[0].streetaddressline1}","GSJLRMYSHM UA NSMSRLHD LAALXRD"
"relatedpersonid_17660","${RetrievePatientsByIds_449_0.instanceJson.patients[0].personrelationships[0].relatedpersonid}","49513043"
"membernumber_2227","${RetrievePatientsByIds_163_0.instanceJson.patients[0].healthplanrelationships[0].healthplaninformation[0].membernumber}","333224444"
"countrycd_3893","${RetrievePatientsByIds_239_0.instanceJson.patients[0].addresses[0].countrycd}","309221"
"begineffectivedatetime_2226","${RetrievePatientsByIds_163_0.instanceJson.patients[0].healthplanrelationships[0].healthplaninformation[0].begineffectivedatetime}","2020-07-06T05:00:00Z"
"code_set_number_3268","${RetrieveTransientFields_204_0.instanceJson.results[2].transient_fields[4].code_set_number}","100008"
"rca_rule_service_id_25017","${rca_call_external_service_786_0.instanceJson.debug_data.rca_rule_service_id}","1267084663"
"parentid_22124","${PostSchedulingLocks_537_0.instanceJson.reppostlocks[0].parentid}","60606498"
"parenttable_22125","${PostSchedulingLocks_537_0.instanceJson.reppostlocks[0].parenttable}","SCH_EVENT"
"applied_slot_id_11311","${GetAppointmentAvailability_413_0.instanceJson.result_items[0].suggestions[8].participants[0].participant_slot.applied_slot_id}","1590720569"
"accept_format_id_6177","${GetAppointmentTypesBySynonymMnemonic_263_0.instanceJson.appointment_synonyms[0].appointment_type.accept_format_id}","386458335"
"role_mid_9","${GetRoleProfile_5_0.instanceJson.role_mid}","367527107"
"attributedescriptorid_2207","${RetrievePatientsByIds_163_0.instanceJson.patients[0].patient[0].userdefinedattributes[0].attributedescriptorid}","111219141"
"releaseofinformationcd_23702","${RetrieveEncountersByIds_621_0.instanceJson.encounters[0].healthplanrelationships[0].healthplaninformation[0].releaseofinformationcd}","638686"
"version_2023","${GetRuleDetailsByIds_161_0.instanceJson.rules[6].version}","10"
