"File","ScriptName","RequestNumber","Product"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_alias_pool_type_reltn\bed_get_alias_pool_type_reltn.prg","bed_get_alias_pool_type_reltn","4411893","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_alias_types_and_pools\bed_get_alias_types_and_pools.prg","bed_get_alias_types_and_pools.prg","4420583","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_alias_type_data\bed_get_alias_type_data.prg","bed_get_person_by_extid.prg","","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_all_pools_with_orgs\bed_get_all_pools_with_orgs.prg","bed_get_all_pools_with_orgs","4410574","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_existing_aliases\bed_get_existing_aliases.prg","bed_get_existing_aliases","4420567","Bedrock"
"alias_pool\alias_pool_transaction\src\main\ccl\bed_get_inbound_alias\bed_get_inbound_alias.prg","bed_get_inbound_alias","4411611","Bedrock"
"allergies\allergies_app\src\main\ccl\allergy_inactivate_nkma_data\inactivate_nkma_data.prg","Inactivate_NKMA_Data","-","-"
"allergies\allergies_app\src\main\ccl\allergy_update_nkda_data\update_nkda_to_nkma_data.prg","Update_NKDA_to_NKMA_Data","-","-"
"allergies\allergies_app\src\main\ccl\dm_rdm_alr_prov_view\dm_rdm_alr_prov_view.prg","dm_rdm_alr_prov_view","None","Allergies"
"allergies\allergies_app\src\main\ccl\person_cmb_allergy\person_cmb_allergy.prg","person_cmb_allergy","N/A","PowerChart Office"
"allergies\allergies_app\src\main\ccl\person_ucb_allergy\person_ucb_allergy.prg","person_ucb_allergy","",""
"allergies\allergies_app\src\main\ccl\solcap_allergy\solcap_allergy.prg","","",""
"allergies\allergies_app\src\main\ccl\solcap_allergy\solcap_rdm_allergy.prg","solcap_rdm_allergy","None",""
"allergies\allergies_transaction\src\main\ccl\cps_get_allergy\cps_get_allergy.prg","CPS_GET_ALLERGY","963006","ASSIST"
"allergies\allergies_transaction\src\main\ccl\pm_ens_allergy\pm_ens_allergy.prg","pm_ens_allergy","101706","ProVide Allergy"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\amb_org_updt_edge_prefs\amb_org_updt_edge_prefs.prg","amb_org_updt_edge_prefs","","Ambulatory Organizer"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\amb_org_updt_ie_prefs\amb_org_updt_ie_prefs.prg","amb_org_updt_ie_prefs","","Ambulatory Organizer"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\ao_update_edge_prefs\ao_update_edge_prefs.prg","ao_update_edge_prefs","","Ambulatory Organizer"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\dm_mp_amb_org_rem_task_rows\dm_mp_amb_org_rem_task_rows.prg","dm_mp_amb_org_rem_task_rows","None","Ambulatory Organizer"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\inn_get_br_setting\inn_get_br_setting.prg","inn_get_br_setting","","Discern Rules"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mk_amb_org_content\mk_amb_org_content.prg","mk_amb_org_content","","MPages"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mk_pex_ng_amb_org\mk_pex_ng_amb_org.prg","mk_pex_ng_amb_org","","MPages"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mk_pex_ng_amb_org_edge\mk_pex_ng_amb_org_edge.prg","mk_pex_ng_amb_org_edge","","MPages"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_ambulatory_organizer\br_run_dmart_cat_amb_org.prg","br_run_dmart_cat_amb_org","","Bedrock"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_ambulatory_organizer\br_run_dmart_def_amb_org.prg","br_run_dmart_def_amb_org","","Bedrock"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_ambulatory_organizer\br_run_dmart_filter_amb_org.prg","br_run_dmart_filter_amb_org","","Bedrock"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_ambulatory_organizer\br_run_dmart_ftr_cat_amb_org.prg","br_run_dmart_ftr_cat_amb_org","","Bedrock"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_ambulatory_organizer\br_run_dmart_report_amb_org.prg","br_run_dmart_report_amb_org","","Bedrock"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_ambulatory_organizer\br_run_dmart_rpt_def_amb_org.prg","br_run_dmart_rpt_def_amb_org","","Bedrock"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_ambulatory_organizer\br_run_dmart_rpt_ftr_amb_org.prg","br_run_dmart_rpt_ftr_amb_org","","Bedrock"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_ambulatory_organizer\br_run_dmart_text_amb_org.prg","br_run_dmart_text_amb_org","","Bedrock"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_day_view_report\mp_amb_day_view_pc_printer.prg","mp_amb_day_view_pc_printer","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_day_view_report\mp_amb_day_view_report_driver.prg","mp_amb_day_view_report_driver","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_day_view_report\mp_amb_day_view_report_layout_code.prg","MP_AMB_DAY_VIEW_REPORT","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_get_appt_location\mp_amb_get_appt_location.prg","mp_amb_get_appt_location","650324","DCP"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_get_open_items_appts\mp_amb_get_open_items_appts.prg","mp_amb_get_open_items_appts","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_get_open_items_appts\mp_amb_get_open_items_appts_dt.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_get_open_items_appts\mp_amb_get_open_items_loc_dt.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_get_upcoming_appts\mp_amb_get_upcoming_appts.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_get_upcoming_data\mp_amb_get_upcoming_data.prg","mp_amb_get_upcoming_data","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_open_items_report\mp_amb_get_open_item_pmt.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_open_items_report\mp_amb_open_items_report_layout_code.prg","MP_AMB_OPEN_ITEMS_REPORT","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_open_items_report\mp_amb_open_item_report_driver.prg","mp_amb_open_item_report_driver","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_rem_task_wrapper\mp_amb_rem_task_wrapper.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_tab_disable_br\mp_amb_tab_disable_br.prg","mp_amb_tab_disable_br","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wait_time_report\mp_amb_get_seen_by_status_pmt.prg","mp_amb_get_seen_by_status_pmt","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wait_time_report\mp_amb_wait_time_report_driver.prg","mp_amb_wait_time_report_driver","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wait_time_report\mp_amb_wait_time_report_layout_code.prg","MP_AMB_WAIT_TIME_REPORT","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_del_comment\mp_amb_wklst_del_comment.prg","mp_amb_wklst_del_comment","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_appts\mp_amb_wklst_get_appts.prg","mp_amb_wklst_get_appts","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_bill_orders\mp_amb_wklst_get_bill_orders.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_calendar\mp_amb_wklst_get_calendar.prg","mp_amb_wklst_get_calendar_amb","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_chief_cmplnt\mp_amb_wklst_get_chief_cmplnt.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_consent\mp_amb_wklst_get_consent.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_handp\mp_amb_wklst_get_handp.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_my_day_appts\mp_amb_get_my_day_appts_dt_rge.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_my_day_appts\mp_amb_wklst_get_my_day_appts.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_open_items\mp_amb_wklst_get_open_items.prg","mp_amb_wklst_get_open_items","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_open_item_cnt\mp_amb_wklst_get_open_item_cnt.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_phys_note\mp_amb_wklst_get_phys_note.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_preop\mp_amb_wklst_get_preop.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_relation_cd\mp_amb_wklst_get_relation_cd.prg","mp_amb_wklst_get_relation_cd","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_surg_data\mp_amb_wklst_get_surg_data.prg","mp_amb_wklst_get_surg_data","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_surg_data\mp_amb_wklst_get_surg_status.prg","mp_amb_wklst_get_surg_status","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_surg_reminder_tasks\mp_amb_wklst_get_surg_rem_tasks.prg","mp_amb_wklst_get_surg_reminder_tasks","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_tsk_lst_sts\mp_amb_wklst_get_tsk_lst_sts.prg","mp_amb_wklst_get_tsk_lst_sts","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_undo_data\mp_amb_wklst_get_undo_data.prg","mp_amb_wklst_get_undo_data","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_get_visit_summ\mp_amb_wklst_get_visit_summ.prg","mp_amb_wklst_get_visit_summ","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_refresh_appts\mp_amb_wklst_refresh_appts.prg","mp_amb_wklst_refresh_appts","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_set_satisfier\mp_amb_wklst_set_satisfier.prg","mp_amb_wklst_set_satisfier","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_set_satisfier\mp_amb_wklst_set_satisfier_2.prg","mp_amb_wklst_set_satisfier_2","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_set_sat_open_item\mp_amb_wklst_set_sat_openitm_2.prg","mp_amb_wklst_set_sat_openitm_2","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_set_sat_open_item\mp_amb_wklst_set_sat_open_item.prg","mp_amb_wklst_set_sat_open_item","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_updt_encntr_loc\mp_amb_wklst_updt_encntr_loc.prg","mp_amb_wklst_updt_encntr_loc","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_amb_wklst_updt_sch_appt\mp_amb_wklst_updt_sch_appt.prg","mp_amb_wklst_updt_sch_appt","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_get_amb_wl_resrc_favs\mp_get_amb_wl_resrc_favs.prg","MP_GET_AMB_WL_RESRC_FAVS","","Ambulatory Worklist"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_retrieve_sched_location_pr\mp_retrieve_sched_locations_pr.prg","mp_retrieve_sched_locations_pr","","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_retrieve_sched_resources_pr\mp_retrieve_sched_resources_pr.prg","mp_retrieve_sched_resources_pr","","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_sch_add_event_action\mp_sch_add_event_action.prg","mp_sch_event_action","650680","DCP"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_sch_add_event_disp\mp_sch_add_event_disp.prg","mp_sch_add_event_disp","650820","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\mp_sch_chg_event_disp\mp_sch_chg_event_disp.prg","mp_sch_chg_event_disp","650821","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_add_sticky_note\pex_add_sticky_note.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_amb_get_br_timer_positions\pex_amb_get_br_timer_positions.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_amb_org_get_my_day_appts_2\pex_amb_my_day_appts_dt_rge.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_amb_org_get_my_day_appts_2\pex_amb_org_get_my_day_appts_2.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_amb_set_br_timer_positions\pex_amb_set_br_timer_positions.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_ao_set_cpmstatus\pex_ao_set_cpmstatus.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_check_br_settings\pex_check_br_settings.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_check_br_settings\pex_lt_to_file_132.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_amb_org_criterion\pex_get_amb_org_criterion.prg","pex_get_amb_org_criterion","","Ambulatory Organizer"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_amb_org_res_favs2\pex_get_amb_org_res_favs2.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_amb_rem_task\pex_get_amb_rem_task.prg","PEX_GET_AMB_REM_TASK","N/A","Ambulatory Worklist"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_ao_appt_data\pex_get_ao_appt_data.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_ao_seen_by_statuses\pex_get_ao_seen_by_statuses.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_ao_statuses\pex_get_ao_statuses.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_appt_details\pex_get_appt_details.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_bill_charges\pex_get_bill_charges.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_br_settings\pex_get_br_settings.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_br_settings\pex_get_br_settings_override.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_br_settings\pex_get_br_settings_report.prg","pex_get_br_settings_report","None","Cerner Corporation"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_br_settings\pex_get_br_settings_req_rep.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_location_rooms\pex_get_location_rooms.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_mu_measures\pex_get_mu_measures.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_mu_measure_config\pex_get_mu_measure_config.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_new_outside_rec_cnt\pex_get_new_outside_rec_cnt.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_office_manual_satisfy\pex_get_office_manual_satisfy.prg","pex_get_office_manual_satisfy","N/A","Ambulatory Worklist"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_open_items_appt_list\pex_get_open_item_appt_list.prg","pex_get_open_items_appt_list","N/A","Physician Experience"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_open_items_patients\pex_get_open_items_patients.prg","pex_get_open_items_patients","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_open_item_cnt\pex_get_open_item_cnt.prg","pex_get_open_item_cnt","N/A","Ambulatory Worklist"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_patient_details\pex_get_patient_details.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_patient_thumbnail\pex_get_patient_thumbnail.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_previsit_rem_task\pex_get_previsit_rem_task.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_previsit_security\pex_get_previsit_security.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_resources_by_group\pex_get_resources_by_group.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_resources_by_mnem\pex_get_resources_by_mnem.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_sch_action_history\pex_get_sch_action_history.prg","pex_get_sch_event_action_history.prg","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_sch_appt_status\pex_get_sch_appt_status.prg","pex_get_sch_appt_status.prg","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_sch_event_action\pex_get_sch_event_action.prg","pex_get_sch_event_action.prg","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_sticky_notes\pex_get_sticky_notes.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_sticky_notes_json\pex_get_sticky_notes_json.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_surgery_area\pex_get_surgery_area.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_surg_manual_satisfy\pex_get_surg_manual_satisfy.prg","pex_get_surg_manual_satisfy","N/A","Ambulatory Worklist"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_surg_reminder_task\pex_get_surg_reminder_task.prg","pex_get_surg_reminder_task","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_get_upcoming_patients\pex_get_upcoming_patient.prg","pex_get_upcoming_patients","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_mp_get_chart_tabs\pex_mp_get_chart_tabs.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_ops_ao_rem_task\pex_ops_ao_rem_task.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_updt_amb_defautls\pex_updt_amb_defaults.prg","pex_updt_amb_defaults","N/A","Physician Experience APU"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\pex_updt_sch_event_action\pex_updt_sch_event_action.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\rdm_amb_org_updt_edge_prefs\rdm_amb_org_updt_edge_prefs.prg","rdm_amb_org_updt_edge_prefs","","Ambulatory Organizer"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\rdm_refresh_pex_ng_amb_org\rdm_refresh_pex_ng_amb_org.prg","rdm_refresh_pex_ng_amb_org","None","Ambulatory Organizer"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\rdm_updt_amb_org_resources\rdm_updt_amb_org_resources.prg","rdm_updt_amb_org_resources","N/A","Physician Experience"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\rdm_updt_mp_amb_org_sat_prg\rdm_updt_mp_amb_org_sat.prg","rdm_updt_mp_amb_org_sat","N/A","Physician Experience"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\rdm_upd_amb_org_1_4_params\pex_upd_amb_org_1_3_params.prg","rdm_upd_amb_org_1_3_params","N/A","Physician Experience"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\rdm_upd_amb_org_1_4_params\rdm_upd_amb_org_1_4_params.prg","rdm_upd_amb_org_1_4_params","N/A","Physician Experience"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\rdm_upd_amb_org_2_0_params\rdm_undo_amb_org_2_0_params.prg","rdm_undo_amb_org_2_0_params","N/A","Physician Dev"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\rdm_upd_amb_org_2_0_params\rdm_upd_amb_org_2_0_params.prg","rdm_upd_amb_org_2_0_params","N/A","Physician Dev"
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\rdm_upd_amb_org_res_list_2_1\rdm_upd_amb_org_res_list_2_1.prg","","",""
"ambulatory_organizer\ambulatory_organizer_app\src\main\ccl\rdm_upd_amb_org_rsrc_prefs\rdm_upd_amb_org_rsrc_prefs.prg","rdm_upd_amb_org_rsrc_prefs","N/A","Physician Experience"
