TABLE_NAME                               TABLESPACE_NAME                        
ALLERGY_COMMENT0009DRR                   D_A_M001                               
ALLERGY_EXT_DATA                         D_A_M009                               
ALLERGY_EXT_DATA6121DRR                  D_A_M009                               
ALLERGY_REVIEW_HIS3620DRR                D_A_M006                               
ALLERGY_REVIEW_HIST                      D_A_M006                               
ALPHA_RESPONSES                          D_R_M001                               
ALPHA_RESPONSES_CATEGORY                 D_R_M001                               
ALPHA_RESPONSE_RULE                      D_R_M001                               
ALT_COLLECTION_INFO                      D_R_M009                               
ALT_COLLECTION_INFO_HIST                 D_A_M008                               
ALT_SEL_CAT                              D_R_M001                               
ALT_SEL_LIST                             D_R_M001                               
AMENDMENT_ALIAS                          D_R_M001                               
AMENDMENT_REASON                         D_R_M001                               
AM_FA_OPERATION_LOG                      D_A_M010                               
ANSWER                                   D_R_M001                               
ANSWER_DOMAIN                            D_R_M001                               
ANSWER_FORMAT                            D_R_M001                               
AOAV_COMP_CHILD_MAP_REF                  D_R_M010                               
AOAV_COMP_CHILD_REF                      D_R_M010                               
AOAV_COMP_CODE_MAP_REF                   D_R_M010                               
AOAV_COMP_COND_MAP_REF                   D_R_M010                               
AOAV_COMP_DRUG_CAT_REF                   D_R_M010                               
AOAV_COMP_EQUATION_REF                   D_R_M010                               
AOAV_COMP_POINTS_REF                     D_R_M010                               
AOAV_COMP_REF                            D_R_M010                               
AOAV_COMP_RULE_REF                       D_R_M010                               
AOAV_CONDITION                           D_A_M009                               
AOAV_CONDITION4964DRR                    D_A_M009                               
AOAV_DIAGNOSES                           D_A_M010                               
AOAV_DIAGNOSES6214DRR                    D_A_M010                               
AOAV_DIAG_GROUP_MAP_REF                  D_R_M010                               
AOAV_ENCNTR_LOC_HIC625DRR                D_A_M009                               
AOAV_ENCNTR_LOC_HIST                     D_A_M009                               
AOAV_ENCNTR_RISK_H6197DRR                D_A_M010                               
AOAV_ENCNTR_RISK_HIST                    D_A_M009                               
AOAV_EVENT                               D_A_M009                               
AOAV_EVENTC626DRR                        D_A_M009                               
AOAV_EVENT_CHILD                         D_A_M009                               
AOAV_EVENT_CHILDC627DRR                  D_A_M009                               
AOAV_FACILITY_PREF                       D_R_M010                               
AOAV_FACILITY_REF                        D_R_M010                               
AOAV_HOSP_OUTCOMES                       D_A_M009                               
AOAV_HOSP_OUTCOMES5173DRR                D_A_M009                               
AOAV_ICU_OUTCOMES                        D_A_M009                               
AOAV_ICU_OUTCOMES5633DRR                 D_A_M009                               
AOAV_ICU_STAY                            D_A_M009                               
AOAV_ICU_STAY5632DRR                     D_A_M009                               
AOAV_LOCATION_REF                        D_R_M010                               
AOAV_MED_RESULT                          D_A_M009                               
AOAV_MED_RESULT5041DRR                   D_A_M009                               
AOAV_OUTCOME                             D_A_M009                               
AOAV_OUTCOMEC628DRR                      D_A_M009                               
AOAV_OUTCOME_COMP                        D_A_M009                               
AOAV_OUTCOME_COMPC629DRR                 D_A_M009                               
AOAV_OUTCOME_COMP_4971DRR                D_A_M009                               
AOAV_OUTCOME_COMP_C630DRR                D_A_M009                               
AOAV_OUTCOME_COMP_COND_R                 D_A_M009                               
AOAV_OUTCOME_COMP_EVENT_R                D_A_M009                               
AOAV_OUTCOME_TYPE_EQ_REF                 D_R_M010                               
AOAV_PERSON_ENCNTR                       D_A_M009                               
AOAV_PERSON_ENCNTRC631DRR                D_A_M009                               
AOAV_PERSON_RETRIEVE_STS                 D_A_M009                               
AOAV_PROCESS_STS                         D_A_M009                               
AOAV_UNIT_CONVERSION_REF                 D_R_M010                               
APC_EXTENSION                            D_R_M001                               
APPBAR_SECURITY                          D_R_M001                               
APPLICATION                              D_R_M001                               
APPLICATION_ACCESS                       D_R_M001                               
APPLICATION_CONTEXT                      D_A_M001                               
APPLICATION_GROUP                        D_R_M001                               
APPLICATION_INI                          D_R_M001                               
APPLICATION_PARAMETER                    D_A_M001                               
APPLICATION_TASK                         D_R_M001                               
APPLICATION_TASK_R                       D_R_M001                               
APPL_DISEASE                             D_R_M001                               
APP_PREFS                                D_R_M001                               
APP_TRANSLATION                          D_R_M001                               
AP_ACCN_TEMPLATE_DETAIL                  D_R_M001                               
AP_APP_FOLDERS                           D_A_M001                               
AP_APP_FOLDER_DETAILS                    D_A_M001                               
AP_BLOB_CLEANUP                          D_A_M001                               
AP_CASE_QUERY                            D_A_M001                               
AP_CASE_QUERY_DETAILS                    D_A_M001                               
AP_CASE_SYNOPTIC_W7778DRR                D_A_M001                               
AP_CASE_SYNOPTIC_WS                      D_A_M001                               
AP_CASE_SYNOPTIC_WS_DATA                 D_A_M009                               
AP_DC_DISCREPANCY_TERM                   D_R_M001                               
AP_DC_EVALUATION_TERM                    D_R_M001                               
AP_DC_EVENT                              D_A_M001                               
AP_DC_EVENT2714DRR                       D_A_M001                               
AP_DC_EVENT_PRSNL                        D_A_M001                               
AP_DC_STUDY                              D_R_M001                               
AP_DC_STUDY_RPT_PROC                     D_R_M001                               
AP_DIAG_AUTO_CODE                        D_R_M001                               
AP_DIAG_QUERY_PARAM                      D_R_M001                               
AP_DIAG_RPT_REVIEW                       D_A_M001                               
AP_DIAG_WORD_CACHE                       D_A_M001                               
AP_DIGITAL_SLIDE                         D_A_M011                               
AP_DIGITAL_SLIDE6779DRR                  D_A_M011                               
AP_DIGITAL_SLIDE_I6879DRR                D_A_M011                               
AP_DIGITAL_SLIDE_INFO                    D_A_M011                               
AP_DISCRETE_ENTITY                       D_A_M001                               
AP_EXT_DATA                              D_A_M010                               
AP_EXT_DATA4649DRR                       D_A_M010                               
AP_FAVORITE                              D_A_M011                               
AP_FOLDER                                D_A_M001                               
AP_FOLDER_ENTITY                         D_A_M001                               
AP_FOLDER_ENTITY5670DRR                  D_A_M001                               
AP_FOLDER_PROXY                          D_A_M001                               
AP_FOLDER_ROLE                           D_A_M001                               
AP_FT_EVENT                              D_A_M001                               
AP_FT_EVENT1018DRR                       D_A_M001                               
AP_FT_REPORT_PROC                        D_R_M001                               
AP_FT_TERM_PROC                          D_R_M001                               
AP_FT_TYPE                               D_R_M001                               
AP_IMAGE_GROUP_INI                       D_A_M001                               
AP_IMAGE_ITEM_INI                        D_A_M001                               
AP_IMAGE_MIGRATED                        D_A_M001                               
AP_IMAGE_MIGRATED0714DRR                 D_A_M001                               
AP_IMAGE_STATION                         D_R_M001                               
AP_IMG_MIGRATION_X0933DRR                D_A_M001                               
AP_IMG_MIGRATION_XCPTN                   D_A_M001                               
AP_INV_RETENTION                         D_R_M001                               
AP_LOGIN_ORDER_LIS1246DRR                D_A_M001                               
AP_LOGIN_ORDER_LIST                      D_A_M001                               
AP_OPS_EXCEPTION                         D_A_M001                               
AP_OPS_EXCEPTION_DETAIL                  D_A_M001                               
AP_PREFIX                                D_R_M001                               
AP_PREFIX_ACCN_TEMPLATE_R                D_R_M001                               
AP_PREFIX_AUTO_TASK                      D_R_M001                               
AP_PREFIX_DIAG_AXIS                      D_R_M001                               
AP_PREFIX_DIAG_SMRY                      D_R_M001                               
AP_PREFIX_PROC_GRP_R                     D_R_M010                               
AP_PREFIX_STATION_R                      D_R_M001                               
AP_PREFIX_TAG_GROUP_R                    D_R_M001                               
AP_PREFIX_TASK_R                         D_R_M007                               
AP_PROCESSING_GRP_R                      D_R_M001                               
AP_PROMPT                                D_R_M001                               
AP_PROMPT_FIELD                          D_R_M001                               
AP_PROMPT_TEST                           D_A_M001                               
AP_PRSNL_PRIV                            D_R_M001                               
AP_PRSNL_PRIV_R                          D_R_M001                               
AP_QA_INFO                               D_A_M001                               
AP_QA_INFO1023DRR                        D_A_M001                               
AP_QUERY_RESULT                          D_A_M001                               
AP_QUERY_RESULT_OFFSET                   D_A_M001                               
AP_SOURCE_DEVICE_ADDL                    D_R_M010                               
AP_SOURCE_VOCABULARY_R                   D_R_M001                               
AP_SPECIMEN_PROTOCOL                     D_R_M001                               
AP_SYNOPTIC_RPT_SECTION_R                D_R_M001                               
AP_SYNOPTIC_SPEC_PREFIX_R                D_R_M001                               
AP_SYS_CORR                              D_R_M001                               
AP_SYS_CORR_COUNTS                       D_A_M001                               
AP_SYS_CORR_DETAIL                       D_R_M001                               
AP_TAG                                   D_R_M001                               
AP_TAG_GROUP                             D_R_M001                               
AP_TASK_ASSAY_ADDL                       D_R_M001                               
AP_TRANS_STAT                            D_A_M001                               
AQ$_CCLAQ_EVENT_G                                                               
AQ$_CCLAQ_EVENT_H                                                               
AQ$_CCLAQ_EVENT_I                                                               
AQ$_CCLAQ_EVENT_L                        MISC                                   
AQ$_CCLAQ_EVENT_S                        MISC                                   
AQ$_CCLAQ_EVENT_T                                                               
AQ$_EDA_INTERNAL_DEV_L                                                          
AQ$_EDA_INTERNAL_DEV_T                                                          
AQ$_EDA_INTERNAL_DEV_X                                                          
AQ$_EDA_ORDERED_DEF_L                                                           
AQ$_EDA_ORDERED_DEF_T                                                           
AQ$_EDA_ORDERED_DEF_X                                                           
AQ$_EDA_UNORDERED_DEF_L                                                         
AQ$_EDA_UNORDERED_DEF_T                                                         
AQ$_EDA_UNORDERED_DEF_X                                                         
AR_BALANCE                               D_A_M001                               
ASSAY_PROCESSING_R                       D_R_M001                               
ASSAY_PROCESS_EVENT                      D_R_M001                               
ASSAY_RESOURCE_LIST                      D_R_M001                               
ASSAY_RESOURCE_LOT                       D_R_M001                               
ASSAY_RESOURCE_TRANSLATION               D_R_M001                               
ASSAY_TAT                                D_R_M001                               
ASSEMBLY_PART                            D_A_M009                               
ASSEMBLY_PART_LOCATOR                    D_A_M009                               
ASSEMBLY_PUBLICATION                     D_A_M009                               
ASSEMBLY_PUBLICATION_VIEW                D_A_M009                               
ASSEMBLY_SUBSCRIPTION                    D_A_M009                               
ASSEMBLY_TWEET                           D_A_M009                               
ASSEMBLY_TWEET_LOCATOR                   D_A_M009                               
ASSIGN                                   D_A_M001                               
ASSIGN2389DRR                            D_A_M001                               
ASSIGN_CLINROLE_R                        D_R_M001                               
ASSIGN_ELIG_RELTN                        D_A_M001                               
ASSIGN_ELIG_RELTN6093DRR                 D_A_M001                               
ASSIGN_REG_RELTN                         D_A_M001                               
ASSIGN_REG_RELTN7193DRR                  D_A_M001                               
ASSIGN_RELEASE                           D_A_M001                               
ASSIGN_RELEASE0015DRR                    D_A_M001                               
ASSO_RELA107DRR                          D_A_M007                               
ATTRIB_CATALOG                           D_R_M001                               
ATTRIB_FIELD_RELTN                       D_R_M001                               
ATTRIB_PRIMER_VAL                        D_R_M001                               
AT_ACCT_RELTN                            D_R_M001                               
AT_ACCT_RELTN5195DRR                     D_R_M001                               
AT_ACTION                                D_R_M001                               
AT_ACTIONPARAMETER                       D_R_M001                               
AT_ACTIONSCREEN                          D_R_M001                               
AT_ALT_ACTION_NAME                       D_R_M001                               
AT_APPACTION                             D_R_M001                               
AT_APPLICATION                           D_R_M001                               
AT_BATCH                                 D_A_M001                               
AT_BATCHDETAIL                           D_A_M001                               
AT_BATCHOBJECTIVE                        D_A_M001                               
AT_BATCHSTEP                             D_A_M001                               
AT_BINARY                                D_R_M001                               
AT_BUCKET                                D_A_M001                               
AT_CATEGORY                              D_A_M001                               
AT_CODESET                               D_R_M001                               
AT_DEVICE                                D_R_M001                               
AT_DEVICEPRODUCT                         D_R_M001                               
AT_DOMAIN                                D_R_M001                               
AT_ENDSTATE                              D_R_M001                               
AT_HISTORY                               D_A_M001                               
AT_KEYINFORMATION                        D_R_M001                               
AT_KEYWORD                               D_R_M001                               
AT_LIBRARY                               D_R_M001                               
AT_LOCK                                  D_A_M001                               
AT_LOG                                   D_A_M001                               
AT_LONGTEXT                              D_R_M001                               
AT_MNEMONICTYPE                          D_R_M001                               
AT_OBJECTIVE                             D_A_M001                               
AT_PARAMETER                             D_R_M001                               
AT_PASSWORD                              D_R_M001                               
AT_PLAN                                  D_A_M001                               
AT_POPUPACTIVITY                         D_R_M001                               
AT_POPUPCOMPONENT                        D_R_M001                               
AT_POPUPWINDOW                           D_R_M001                               
AT_POSTCONDITION                         D_R_M001                               
AT_PRECONDITION                          D_R_M001                               
AT_PREF                                  D_R_M001                               
AT_PRODUCT                               D_R_M001                               
AT_QUERY                                 D_R_M001                               
AT_RUN                                   D_A_M001                               
AT_RUNOBJECTIVE                          D_A_M001                               
AT_RUNSTEP                               D_A_M001                               
AT_SCREENSHOT                            D_A_M001                               
AT_STEP                                  D_A_M001                               
AT_SUBACTION                             D_R_M001                               
AT_SYNONYMTYPE                           D_R_M001                               
AT_SYSTEMFIELD                           D_R_M001                               
AT_TIMER                                 D_A_M001                               
AT_USER                                  D_R_M001                               
AT_USERPRIVILEGE                         D_R_M001                               
AUDIT_EVENT                              D_R_M001                               
AUDIT_NAME_DEF                           D_R_M001                               
AUDIT_REQUEST                            D_R_M001                               
AUDIT_TYPE_DEF                           D_R_M001                               
AUTH                                     D_A_M001                               
AUTHORIZATION                            D_A_M001                               
AUTHORIZATION0720DRR                     D_A_M001                               
AUTHORIZATION_AGE_RANGE                  D_R_M010                               
AUTHORIZATION_CODE4933DRR                D_A_M009                               
AUTHORIZATION_CODE_VALUE_R               D_A_M009                               
AUTHORIZATION_HIST                       D_A_M008                               
AUTHORIZATION_HIST3944DRR                D_A_M008                               
AUTHORIZATION_ITEM                       D_A_M010                               
AUTHORIZATION_ITEM6149DRR                D_A_M010                               
AUTHORIZATION_ITEM6150DRR                D_A_M010                               
AUTHORIZATION_ITEM_HIST                  D_A_M010                               
AUTHORIZATION_MANA4932DRR                D_A_M009                               
AUTHORIZATION_MANAGEMENT                 D_A_M009                               
AUTHORIZATION_PROFILE                    D_R_M009                               
AUTH_CODE_VALUE_R_4935DRR                D_A_M009                               
AUTH_CODE_VALUE_R_HIST                   D_A_M009                               
AUTH_DETAIL                              D_A_M001                               
AUTH_DETAIL3184DRR                       D_A_M001                               
AUTH_DETAIL_HIST                         D_A_M008                               
AUTH_DETAIL_HIST3945DRR                  D_A_M008                               
AUTH_ERROR                               D_A_M001                               
AUTH_ERROR_DETAIL                        D_A_M001                               
AUTH_ITEM_ORDER_RELTN                    D_A_M010                               
AUTH_ITEM_ORDER_R_HIST                   D_A_M010                               
AUTH_MANAGEMENT_HI4950DRR                D_A_M009                               
AUTH_MANAGEMENT_HIST                     D_A_M009                               
AUTH_REFERRAL_RELT2579DRR                D_A_M011                               
AUTH_REFERRAL_RELT2581DRR                D_A_M011                               
AUTH_REFERRAL_RELTN                      D_A_M011                               
AUTH_REFERRAL_RELTN_HIST                 D_A_M011                               
AUTH_SCH_EVENT_REL4615DRR                D_A_M010                               
AUTH_SCH_EVENT_REL4617DRR                D_A_M010                               
AUTH_SCH_EVENT_RELTN                     D_A_M010                               
AUTH_SCH_EVENT_RELTN_HIST                D_A_M010                               
AUTO_DIRECTED                            D_A_M001                               
AUTO_DIRECTED0776DRR                     D_A_M001                               
AUTO_MATCH_DEFINITION                    D_R_M001                               
AUTO_VERIFY                              D_R_M001                               
AUTO_VERIFY_CODE                         D_A_M001                               
AUTO_VERIFY_CODE5990DRR                  D_A_M001                               
AVISA117DRR                              D_A_M007                               
AV_CONSISTENCY                           D_R_M001                               
AV_ORDER_HOLD                            D_A_M009                               
AV_ORDER_HOLD4704DRR                     D_A_M009                               
AV_RES_CAT                               D_R_M001                               
AV_STATUS_EVENT                          D_A_M001                               
BATCH_DENIAL_FILE_5772DRR                D_A_M001                               
BATCH_DENIAL_FILE_6468DRR                D_A_M001                               
BATCH_DENIAL_FILE_DETAIL_R               D_A_M001                               
BATCH_DENIAL_FILE_R                      D_A_M001                               
BATCH_LABEL                              D_A_M001                               
BATCH_LABEL5097DRR                       D_A_M001                               
BATCH_TRANS                              D_A_M001                               
BATCH_TRANS_EXT                          D_A_M001                               
BATCH_TRANS_EXT6575DRR                   D_A_M001                               
BATCH_TRANS_FILE                         D_A_M001                               
BATCH_TRANS_FILE5473DRR                  D_A_M001                               
BATCH_TRANS_RELTN                        D_A_M001                               
BBHIST_PRODUCT                           D_A_M001                               
BBHIST_PRODUCT_EVE3647DRR                D_A_M001                               
BBHIST_PRODUCT_EVENT                     D_A_M001                               
BBHIST_SPECIAL_TESTING                   D_A_M001                               
BB_ALPHA_TRANSLATION                     D_R_M001                               
BB_AUTODIR_EXCEPTION                     D_A_M001                               
BB_DEVICE                                D_R_M001                               
BB_DEVICE_TRANSFER                       D_A_M001                               
BB_DSPNS_BLOCK                           D_R_M001                               
BB_DSPNS_BLOCK_PRODUCT                   D_R_M001                               
BB_EDN_ADMIN                             D_A_M001                               
BB_EDN_DSCRPNCY_OV2004DRR                D_A_M001                               
BB_EDN_DSCRPNCY_OVRD                     D_A_M001                               
BB_EDN_PROBLEM                           D_A_M006                               
BB_EDN_PROBLEM3086DRR                    D_A_M006                               
BB_EDN_PRODUCT                           D_A_M001                               
BB_EDN_PRODUCT2003DRR                    D_A_M001                               
BB_EDN_SPCL_TESTIN2002DRR                D_A_M001                               
BB_EDN_SPCL_TESTING                      D_A_M001                               
BB_EXCEPTION                             D_A_M001                               
BB_EXCEPTION1445DRR                      D_A_M001                               
BB_EXCEPT_CXM                            D_A_M001                               
BB_EXCEPT_CXM3783DRR                     D_A_M001                               
BB_EXC_CXM_PRODUCT                       D_A_M001                               
BB_EXC_CXM_PRODUCT3784DRR                D_A_M001                               
BB_FACILITY_PRINTER_R                    D_R_M001                               
BB_GROUP_COMPONENT                       D_R_M001                               
BB_GS1_GTIN                              D_R_M010                               
BB_ICCBBA_MAPPING                        D_R_M001                               
BB_INVENTORY_AREA                        D_R_M001                               
BB_INVENTORY_TRANSFER                    D_A_M001                               
BB_INVLD_PROD_ORD_EXCEPTN                D_A_M008                               
BB_INV_DEVICE                            D_R_M001                               
BB_INV_DEVICE_R                          D_R_M001                               
BB_ISBT_ADD_INFO                         D_R_M001                               
BB_ISBT_ATTRIBUTE                        D_R_M001                               
BB_ISBT_ATTRIBUTE_R                      D_R_M001                               
BB_ISBT_LABEL_PARAM                      D_R_M001                               
BB_ISBT_PRODUCT_TYPE                     D_R_M001                               
BB_ISBT_SUPPLIER                         D_R_M007                               
BB_LABEL_VERIFY                          D_A_M001                               
BB_MOD_DEVICE                            D_R_M001                               
BB_MOD_NEW_PRODUCT                       D_R_M001                               
BB_MOD_OPTION                            D_R_M001                               
BB_MOD_ORIG_PRODUCT                      D_R_M001                               
BB_MOD_POOL_NBR                          D_R_M001                               
BB_MOD_SPECIAL_TESTING                   D_R_M001                               
BB_ORDER_CELL                            D_A_M001                               
BB_ORDER_CELL1446DRR                     D_A_M001                               
BB_ORDER_PHASE                           D_A_M001                               
BB_ORDER_PHASE0016DRR                    D_A_M001                               
BB_PRINTER                               D_R_M001                               
BB_PRINT_SERVER                          D_R_M001                               
BB_PTC_TEMP_PERSON                       D_A_M009                               
BB_QC_EXPECTED_RESULT_R                  D_R_M001                               
BB_QC_GROUP                              D_A_M001                               
BB_QC_GROUP_ACTIVITY                     D_A_M001                               
BB_QC_GROUP_XREF                         D_A_M001                               
BB_QC_GRP_REAGENT_ACTIVITY               D_A_M001                               
BB_QC_GRP_REAGENT_LOT                    D_A_M001                               
BB_QC_REL_REAGENT                        D_R_M001                               
BB_QC_REL_REAGENT_DETAIL                 D_R_M001                               
BB_QC_RESULT                             D_A_M001                               
BB_QC_RESULT_TROUBLESHOOTING_R           D_A_M001                               
BB_QC_SCHEDULE_SEGMENT                   D_R_M001                               
BB_QC_TROUBLESHOOTING                    D_R_M001                               
BB_REQS_EXCEPTION                        D_A_M001                               
BB_REVIEW_QUEUE                          D_A_M001                               
BB_REVIEW_QUEUE0727DRR                   D_A_M001                               
BB_RH_PHENOTYPE                          D_R_M001                               
BB_RH_PHENO_TESTING                      D_R_M001                               
BB_SERVER_PRINTER_R                      D_R_M001                               
BB_SHIPMENT                              D_A_M001                               
BB_SHIP_CONTAINER                        D_A_M001                               
BB_SHIP_EVENT                            D_A_M001                               
BB_SPEC_EXPIRE_OVR1771DRR                D_A_M001                               
BB_SPEC_EXPIRE_OVRD                      D_A_M001                               
BB_SPEC_EXP_OVRD_P1855DRR                D_A_M001                               
BB_SPEC_EXP_OVRD_PROD                    D_A_M001                               
BB_SUPPLIER                              D_R_M001                               
BB_TAG_VERIFY_EXCPN                      D_A_M010                               
BB_TEST_GROUP                            D_R_M001                               
BB_UPLOAD_LONG_TEX6675DRR                D_A_M001                               
BB_UPLOAD_LONG_TEXT_R                    D_A_M001                               
BB_UPLOAD_PERSON_A6613DRR                D_A_M001                               
BB_UPLOAD_PERSON_ABORH_R                 D_A_M001                               
BB_UPLOAD_REVIEW                         D_A_M001                               
BB_UPLOAD_REVIEW6610DRR                  D_A_M001                               
BB_WORKLIST                              D_A_M001                               
BB_WORKLIST_DETAIL                       D_A_M001                               
BCE_EVENT_BILL_MOD_RELTN                 D_A_M001                               
BCE_EVENT_LOG                            D_A_M001                               
BCE_EVENT_LOG6098DRR                     D_A_M001                               
BED                                      D_R_M001                               
BENEFIT                                  D_R_M001                               
BENEFIT_DETAIL                           D_R_M001                               
BENEFIT_ORDER                            D_A_M001                               
BENEFIT_ORDER5439DRR                     D_A_M001                               
BE_AT_RELTN                              D_R_M001                               
BE_CUSTOM_OBJ_RELTN                      D_R_M001                               
BE_DOMAIN                                D_R_M001                               
BE_GL_ALIAS_RELTN                        D_R_M001                               
