RequestNumber,RequestName,RequestType,ServiceBinding
957006,afc_get_bill_item_by_desc,RR,CPMScript
957000,afc_get_bill_item_by_id,RR,CPMScript
957002,afc_get_bill_item_by_owner,RR,CPMScript
957003,afc_get_bill_item_by_parent,RR,CPMScript
957001,afc_get_bill_item_by_ref_crit,RR,CPMScript
951904,afc_get_bill_item_for_synonym,RR,CPMScript
951323,afc_get_bill_item_groups,RR,CPMScript
951052,afc_get_bill_item_internal,RR,CPMScript
951318,afc_get_bill_item_mapping,RR,CPMScript
951005,afc_get_bill_item_modifier,RR,CPMScript
951415,afc_get_bill_item_modifier_his,RR,CPMScript
951003,afc_get_bill_items,RR,CPMScript
951104,afc_get_bill_items_for_org,RR,CPMScript
951362,afc_get_bill_items_for_rev_cd,RR,CPMScript
951033,afc_get_bill_org,RR,CPMScript
951397,AFC_GET_BILLING_ENTITIES,RR,CPMScript
951114,afc_get_billitem_for_bcsched,RR,CPMScript
951240,afc_get_billitems,RR,CPMScript
951327,afc_get_bim_bill_item,RR,CPMScript
951902,afc_get_bim_bill_item_inquiry,RR,CPMScript
951082,afc_get_bim_dependencies,RR,CPMScript
951087,afc_get_bim_dependencies2,RR,CPMScriptBatch
951164,afc_get_cdm_by_key,RR,CPMScript
957007,afc_get_charge_by_filter,RR,CPMScript
957008,afc_get_charge_by_id,RR,CPMScript
951500,afc_get_charge_desc_master,RR,CPMScript
951162,afc_get_charge_events,RR,CPMScript
951118,afc_get_charge_modify_details,RR,CPMScript
951055,afc_get_charge_point_scheds,RR,CPMScript
951056,afc_get_charge_points,RR,CPMScript
951046,afc_get_charges,RR,CPMScript
951051,afc_get_child_inst,RR,CPMScript
951261,afc_get_client_batch,RR,CPMScript
951260,afc_get_clients,RR,CPMScript
951344,afc_get_code_value_outbound,RR,CPMScript
951043,afc_get_code_values,RR,CPMScript
951100,afc_get_cost_adj,RR,CPMScript
951057,afc_get_cost_adj_flex,RR,CPMScript
951025,afc_get_cost_adj_sched,RR,CPMScript
951403,afc_get_cost_centers,RR,CPMScript
951350,afc_get_cs_org_reltn,RR,CPMScript
951202,afc_get_curr_tier_options,RR,CPMScript
951920,afc_get_dcr_date,RR,CPM.Scriptcache
951059,afc_get_demographics,RR,CPMScript
951047,afc_get_department_codes,RR,CPMScript
951328,afc_get_dm_info,RR,CPMScript
951372,afc_get_fav_folder_cat,RR,CPMScript
951373,afc_get_fav_folder_list,RR,CPMScript
951324,afc_get_foreign_bill_item,RR,CPMScript
951342,afc_get_health_plan,RR,CPMScript
951377,afc_get_him_codes_for_encntr,RR,CPMScript
951271,afc_get_icd_compliance_date,RR,cpmscript
957009,afc_get_iface_file_by_name,RR,CPMScript
951083,AFC_GET_INTERFACE_FILE,RR,CPMScript
957020,afc_get_interface_file_by_id,RR,CPMScript
951067,afc_get_interval,RR,CPMScript
951401,afc_get_locations,RR,CPMScript
951345,afc_get_nomenclature,RR,CPMScript
951044,afc_get_one_string,RR,CPMScript
951319,afc_get_order_comment,RR,CPMScript
951103,afc_get_org_from_billcodesched,RR,CPMScript
951395,afc_get_org_from_entityname,RR,CPMScript
951903,afc_get_org_from_person,RR,CPMScript
951032,afc_get_org_from_pricesched,RR,CPMScript
951901,afc_get_org_reltn_prsnl,RR,CPMScript
951030,afc_get_organization,RR,CPMScript
951066,afc_get_organization_old,RR,CPMScript
951331,afc_get_orgs,RR,CPMScript
951095,afc_get_parent_inst,RR,CPMScript
951096,afc_get_perf_loc,RR,CPMScript
951375,afc_get_performing_locations,RR,CPMScript
951326,afc_get_person_encounter_info,RR,CPMScript
951353,afc_get_pm_authorization,RR,CPMScript
951365,afc_get_price_history,RR,CPMScript
951022,afc_get_price_sched_adj,RR,CPMScript
951367,afc_get_price_sched_dates,RR,CPMScript
951069,afc_get_price_sched_interval,RR,CPMScript
951006,afc_get_price_sched_item,RR,CPMScript
951418,afc_get_price_sched_item_hist,RR,CPMScript
951040,afc_get_price_schedule,RR,CPMScript
951329,afc_get_prime_cdm,RR,CPMScript
951081,afc_get_procedure,RR,CPMScript
951343,afc_get_prsnl_alias,RR,CPMScript
951398,afc_get_prsnl_groups,RR,CPMScript
951086,AFC_GET_PRSNL_ID,RR,CpmScript
951037,afc_get_ps_for_ca,RR,CPMScript
951340,AFC_GET_REAL_TIME_INTERFACE,RR,CpmScript
951241,afc_get_reports,RR,CPMScript
957022,afc_get_research_acct_by_id,RR,CPMScript
951058,afc_get_sched_dependencies,RR,CPMScript
951105,afc_get_sched_for_user,RR,CPMScript
951402,afc_get_service_resources,RR,CPMScript
951035,afc_get_string_nomenclature,RR,CPMScript
951045,afc_get_suspend_details,RR,CPMScript
951023,afc_get_suspense_reasons,RR,CPMScript
951090,AFC_GET_TEST,RR,CpmScript
951404,afc_get_tier_groups,RR,CPMScript
951024,afc_get_tier_options,RR,CPMScript
951394,AFC_GET_TIER_OPTIONS_FOR_ORG,RR,CpmScript
951325,afc_get_tiermatrix_depend,RR,CPMScriptBatch
951391,afc_import_tier_matrix,RR,CPMScript
951217,afc_modify_add_all,RR,CPMScript
951216,afc_modify_adv_all,RR,CPMScript
951215,afc_modify_adv_price,RR,CPMScript
951214,afc_modify_all_price,RR,CPMScript
951955,afc_modify_charge,RR,CPMScript
951364,afc_modify_interfaced_charge,RR,CPMScript
951115,afc_move_charges_by_master,RR,CPMScriptBatch
951072,AFC_ORDER_DUMMY,RDM,CPM.omfpost
951080,afc_post_inbound_charge,RR,CPMScript
951250,afc_post_interface_charge,RR,CPMScriptBatch
951020,AFC_PROC_SRV_DUMMY_CALL,RDM,CpmScriptAsync
957023,afc_process_event_wrapper,RR,CpmScriptAsync
952401,afc_ratestructure_query_gen,RR,CPMScriptBatch
951706,afc_rca_get_batches_for_prsnl,RR,CPMScript
951708,afc_rca_get_ce_for_encntr,RR,CPMScript
951709,afc_rca_get_charge_batch_info,RR,CPMScript
951707,afc_rca_get_encntrs_for_batch,RR,CPMScript
951704,afc_rca_get_flds_for_svc_item,RR,CPMScript
957024,afc_rca_get_modify_chrg_model,RR,CPMScript
957025,AFC_RCA_GET_MODIFY_CHRGS_MODEL,RR,CPMScript
951712,afc_rca_get_shareofcost,RR,CPMScript
951702,afc_rca_get_svc_item_by_type,RR,CPMScript
951703,afc_rca_remove_charge_event,RR,CPMScriptBatch
951705,afc_rca_save_charge_batch,RR,CPMScript
951700,afc_rca_save_charge_event,RR,CPMScript
951714,afc_rca_save_modify_chrg_model,RR,CPMScript
951716,afc_rca_save_modify_mult_chrgs,RR,CPMScriptBatch
951710,afc_rca_set_charge_batch_lock,RR,CPMScript
951701,afc_rca_submit_charge_batch,RR,CPMScript
951711,afc_rca_submit_charge_batches,RR,CPMScript
951713,afc_rca_update_ce_ICDCodes,RR,CPMScript
951163,afc_remove_charge_event_info,RR,CPMScript
951252,afc_report_clients,RR,CPMScript
951002,afc_reprocess_charges,RR,CPMScriptBatch
951071,AFC_RESULT_DUMMY,RDM,CPM.omfpost
951220,afc_rpt_audit_billitem,RR,CPMScriptBatch
951351,afc_rpt_batch_charge_entry,RR,CPMScript
951393,afc_rpt_charge_viewer,RR,CPMScript
951269,afc_rpt_csops_summ,RR,CPMScriptBatch
951016,afc_rpt_lost_credits,RR,CPMScriptBatch
951258,afc_rpt_manual_charges,RR,CPMScriptBatch
951392,afc_rpt_tier_matrix,RR,CPMScript
951254,afc_run_custom,RR,CPMScriptBatch
951272,afc_run_price_inquiry,RR,CPMScript
951110,afc_search_tier_data,RR,CPMScript
951374,afc_send_charge_to_profit,RR,CPMScriptBatch
951088,AFC_SRV_ADD_CHARGE,RR,CpmScript
951089,AFC_SRV_ADD_CHARGE_MOD,RR,CpmScript
951097,AFC_SRV_ADD_REPLY,RR,CpmScript
951092,AFC_SRV_ADD_WORKLOAD,RR,CpmScript
951094,AFC_SRV_CHECK_REQ_PROC,RR,CpmScript
951078,AFC_SRV_GET_ALL_CHARGE_EVENT,RR,CpmScript
951076,AFC_SRV_GET_BILL_ITEMS,RR,CpmScript
951075,AFC_SRV_GET_BILL_ORG_PAYOR,RR,CpmScript
951084,AFC_SRV_GET_CHARGE_EVENT_MOD,RR,CpmScript
951079,AFC_SRV_GET_CHARGE_MOD,RR,CpmScript
951064,AFC_SRV_GET_CODESET,RR,CpmScript
951012,AFC_SRV_GET_SERVICE_RESOURCES,RR,CpmScript
951077,AFC_SRV_GET_TIER,RR,CpmScript
951018,AFC_SRV_INTERFACE_CHARGE,RDM,CpmScriptAsync
951098,AFC_SRV_UPT_REPLY,RR,CpmScript
951116,afc_transfer_charges,RR,CPMScript
951117,afc_undo_credit,RR,CPMScript
951230,afc_upt_chrg_pnt,RR,CPMScript
951233,afc_upt_price,RR,CPMScriptBatch
951380,afc_upt_price_for_bill_item,RR,CPMScript
951268,afc_upt_suspended_charges,RR,CPMScriptBatch
6801,AggregateCollector,RR,timerepository
4249919,ags_claim_load,RR,CpmScript
4249910,ags_exe_benefit_level_load,RR,CPMScriptBatch
4249907,ags_exe_claim_load,RR,CPMScriptBatch
4249908,ags_exe_claimdet_load,RR,CPMScriptBatch
4249909,ags_exe_immun_load,RR,CPMScriptBatch
4249911,ags_exe_meds_load,RR,CPMScriptBatch
4249913,ags_exe_mrg_load,RR,CPMScriptBatch
4249904,ags_exe_org_load,RR,CPMScriptBatch
4249906,ags_exe_person_load,RR,CPMScriptBatch
4249914,ags_exe_phr_extract,RR,CPMScriptBatch
4249917,ags_exe_plan_load,RR,CPMScriptBatch
4249905,ags_exe_prsnl_load,RR,CPMScriptBatch
4249916,ags_exe_pvd_org_load,RR,CPMScriptBatch
4249915,ags_exe_pvd_prsnl_load,RR,CPMScriptBatch
4249912,ags_exe_result_load,RR,CPMScriptBatch
4249903,ags_import_data_files,RR,CPMScriptBatch
4249918,ags_person_load,RR,CpmScript
4050534,AK_GET_SCRIPT,RR,CPMScript
4050535,AK_GROUPING_TEST,RR,CPMScript
4050532,AK_VBCCL_ADD_SCRIPT,RR,CPMScript
4050533,AK_VBCCL_update_SCRIPT,RR,CPMScript
4174076,allergiesHealthCheck,RPC,allergiesHealthCheck
964762,AllergiesRetrieval,RPC,Interop
4174062,AllergySearch,RPC,allergies
265513,AllRequirements,RPC,SpecimenContainer
265510,AltContainersByAccession,RPC,SpecimenContainer
265512,AltContainersByRequirement,RPC,SpecimenContainer
510213,AnswerPriorAuthorizationQuestions,RPC,CPOEPriorAuthorization
510215,ApplyPriorAuthorizationFormActions,RPC,CPOEPriorAuthorization
655228,AppointmentRequestDetailHistory,RPC,Scheduling
655227,AppointmentRequestsGet,RPC,Scheduling
659914,AppointmentRequestsGetByActionId,RPC,Scheduling
659912,AppointmentRequestsGetByPatient,RPC,Scheduling
659913,AppointmentRequestsGetByPriority,RPC,Scheduling
659911,AppointmentRequestsGetByQueue,RPC,Scheduling
655225,AppointmentRequestsPost,RPC,Scheduling
655226,AppointmentRequestsPut,RPC,Scheduling
655229,AppointmentSchedulableRequests,RPC,Scheduling
659614,AppointmentScheduleOPSJob,RPC,Scheduling
659910,AppointmentsCommentGet,RPC,Scheduling
655243,AppointmentSuggest,RPC,Scheduling
655244,AppointmentSuggestRecur,RPC,Scheduling
655223,ApptSuggest,RPC,Scheduling
655224,ApptSuggestRecur,RPC,Scheduling
200061,APS.AutoCode,RDM,ApsAutoCoder
200311,APS.IndicateChangeStep,RR,ApsCacheManager
200312,APS.InquireChangeStep,RR,ApsCacheManager
200297,APS.InterCoderStep,RR,ApsInterCoder
200038,APS.PrintQuery,RDM,ApsCaseRetrieval
200008,APS_ADD_BATCH_QUERY,RR,CPMScript
200390,aps_add_billing_tasks,RR,CPMScript
200369,APS_ADD_CANNED_IMAGES,RR,CPMScript
200150,aps_add_case_proc_tasks,RR,CPMScript
200031,APS_ADD_CASE_QUERY,RR,CPMScript
200006,APS_ADD_CASE_SPECIMEN,RR,CPMScript
200402,aps_add_chg_diag_corr_events,RR,CPMScript
200405,aps_add_chg_sys_corr_events,RR,CPMScript
200041,APS_ADD_DB_CODESET,RR,CPMScript
200060,APS_ADD_DB_CYTO_USER_INFO,RR,CPMScript
200248,aps_add_db_dc_dis_agree,RR,CPMScript
200255,aps_add_db_dc_discrepancy,RR,CPMScript
200250,aps_add_db_dc_reports_details,RR,CPMScript
200094,aps_add_db_reports_details,RR,CPMScript
200394,aps_add_db_sys_corr_params,RR,CPMScript
200140,aps_add_db_sys_wrksht,RR,CPMScript
200319,aps_add_departmental_images,RR,CPMScript
200281,aps_add_diag_rpt_review,RR,CPMScript
200290,aps_add_diag_word_cache,RR,CPMScript
200341,APS_ADD_FOLDER,RR,CPMScript
200345,APS_ADD_FOLDER_ENTITIES,RR,CPMScript
200346,APS_ADD_FOLDER_ROLE,RR,CPMScript
200157,APS_ADD_FOLLOWUP_EVENT,RR,CPMScript
200142,APS_ADD_HIST_CASE_REPORT,RR,CPMScript
200141,APS_ADD_HIST_PATH_CASE,RR,CPMScript
200206,APS_ADD_LOGIN_ORDER_INFO,RR,CPMScript
200005,APS_ADD_PATHOLOGY_CASE,RR,CPMScript
200019,APS_ADD_PATHOLOGY_REPORT,RR,CPMScript
