Transaction,Field,Count
GetExternalServicesByIds_226_0,external_service_id,1
GetExternalServicesByIds_226_0,field,1
GetExternalServicesByIds_228_0,external_service_id,1
GetExternalServicesByIds_228_0,field,1
GetExternalServicesByIds_230_0,external_service_id,1
GetExternalServicesByIds_230_0,field,1
GetExternalServicesByIds_232_0,external_service_id,1
GetExternalServicesByIds_232_0,field,1
GetExternalServicesByIds_234_0,external_service_id,1
GetExternalServicesByIds_234_0,field,1
GetExternalServicesByIds_236_0,external_service_id,1
GetExternalServicesByIds_236_0,field,1
GetExternalServicesByIds_238_0,external_service_id,1
GetExternalServicesByIds_238_0,field,1
GetExternalServicesByIds_240_0,external_service_id,1
GetExternalServicesByIds_240_0,field,1
GetExternalServicesByIds_242_0,external_service_id,1
GetExternalServicesByIds_242_0,field,1
GetExternalServicesByIds_244_0,external_service_id,1
GetExternalServicesByIds_244_0,field,1
GetFlexPersonToken_300_0,beg_effective_dt_tm,2
GetFlexPersonToken_300_0,data_type_meaning,3
GetFlexPersonToken_300_0,double_value,16
GetFlexPersonToken_300_0,dt_tm_value,2
GetFlexPersonToken_300_0,flex_token_meaning,8
GetFlexPersonToken_300_0,oe_field_id,16
GetFlexPersonToken_568_0,beg_effective_dt_tm,1
GetFlexPersonToken_568_0,double_value,1
GetFlexPersonToken_568_0,dt_tm_value,1
GetLocationGroupsByMnemonic_70_0,locationgroupid,1
GetLogicalAndSystemPreferencesByMeanings_447_0,pref_type_meaning,1
GetPatientAppointment_493_0,state_meaning,1
GetProfile_102_0,path,1
GetRoleProfile_5_0,role_mid,1
Location_RetrieveAncestors_316_0,location_id,1
Location_RetrieveByIds_451_0,location_id,1
Location_RetrieveByIds_611_0,location_id,1
OrderFormatsByCriteria_279_0,field_label_text,1
OrderFormatsByCriteria_279_0,order_entry_field_id,2
OrderFormatsByCriteria_279_0,order_format_id,1
OrdersByAppointmentTypeRetrieval_277_0,catalogcd,1
OrdersByAppointmentTypeRetrieval_277_0,mnemonic,1
PM_GET_ALIAS_474_0,alias,1
PM_GET_ALIAS_620_0,alias,1
PM_GET_ALIAS_641_0,alias,1
PM_GET_ALIAS_POOL_458_0,alias_entity_alias_type_disp,1
PM_SCH_GET_ENCOUNTERS_114_0,facility_org_id,1
RetrieveNotificationRuleRelationshipsByTypes_167_0,ruleid,54
RetrievePatientsByIds_132_0,begineffectivedatetime,1
RetrievePatientsByIds_132_0,ethnicgroupcd,1
RetrievePatientsByIds_132_0,gendercd,1
RetrievePatientsByIds_132_0,middle,1
RetrievePatientsByIds_132_0,racecd,1
RetrievePatientsByIds_171_0,attributedescriptorid,1
RetrievePatientsByIds_171_0,begineffectivedate,1
RetrievePatientsByIds_171_0,endeffectivedatetime,1
RetrievePatientsByIds_171_0,groupnumber,1
RetrievePatientsByIds_171_0,healthplanfinancialclasscd,1
RetrievePatientsByIds_171_0,healthplanid,1
RetrievePatientsByIds_171_0,stringvalue,1
RetrievePatientsByIds_171_0,typecd,1
RetrievePatientsByIds_247_0,begineffectivedatetime,1
RetrievePatientsByIds_247_0,countrycd,1
RetrievePatientsByIds_247_0,entitytype,1
RetrievePatientsByIds_247_0,relationcd,1
RetrievePatientsByIds_247_0,statecd,1
RetrievePatientsByIds_461_0,begineffectivedatetime,2
RetrievePatientsByIds_461_0,city,1
RetrievePatientsByIds_461_0,postalcode,1
RetrievePatientsByIds_461_0,statecd,1
RetrievePatientsByIds_461_0,typemeaning,1
RetrievePatientsByIds_461_0,streetaddressline1,1
RetrievePatientsByIds_515_0,gendercd,1
RetrievePatientsByIds_515_0,middle,1
RetrievePatientsByIds_520_0,begineffectivedate,1
RetrievePatientsByIds_520_0,begineffectivedatetime,1
RetrievePatientsByIds_520_0,healthplanfinancialclasscd,1
RetrievePatientsByIds_520_0,healthplanid,1
RetrievePatientsByIds_520_0,healthplanrelationshipid,1
RetrievePatientsByIds_616_0,begineffectivedatetime,1
RetrievePatientsByIds_616_0,city,1
RetrievePatientsByIds_616_0,postalcode,1
RetrievePatientsByIds_616_0,statecd,1
RetrievePatientsByIds_616_0,streetaddressline1,1
RetrieveTransientFields_212_0,code_set_number,1
sch_check_times_433_0,booking_id,2
sch_check_times_593_0,booking_id,4
SequenceNumbersGenerator_283_0,sequence_number,1
