"Original Value","Param Name","Param Value","Transaction Aliases"
12805789,locationgroupid_1134,"${GetLocationGroupsByMnemonic_70_0.instanceJson.location_groups[4].locationgroupid}","(transName='GetLocationsByLocationGroupId_72_0', messageId=650930, aliases='location_group_id');(transName='GetPatientTrackingApptListByCriteria_80_0', messageId=650943, aliases='locationgroupid');(transName='GetPatientTrackingApptListByCriteria_267_0', messageId=650943, aliases='locationgroupid');(transName='GetPatientTrackingApptListByCriteria_294_0', messageId=650943, aliases='locationgroupid');(transName='GetPatientTrackingApptListByCriteria_495_0', messageId=650943, aliases='locationgroupid');(transName='GetPatientTrackingApptListByCriteria_548_0', messageId=650943, aliases='locationgroupid');(transName='GetPatientTrackingApptListByCriteria_555_0', messageId=650943, aliases='locationgroupid');(transName='GetPatientTrackingApptListByCriteria_658_0', messageId=650943, aliases='locationgroupid')"
10531476,personnel_id_9450,"${GetDynamicRoles_417_0.instanceJson.resource_lists[14].roles[0].resources[7].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
31208587,personnel_id_10692,"${GetDynamicRoles_417_0.instanceJson.resource_lists[78].roles[0].resources[2].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
31208588,personnel_id_10694,"${GetDynamicRoles_417_0.instanceJson.resource_lists[78].roles[0].resources[3].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
2025-02-20T23:20:47Z,"endeffectivedatetime_2474","${RetrievePatientsByIds_171_0.instanceJson.patients[0].healthplanrelationships[1].healthplaninformation[0].endeffectivedatetime}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='begin_effective_dt_tm_value');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='begin_effective_dt_tm_value');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='begin_effective_dt_tm_value')"
40188284,personnel_id_9250,"${GetDynamicRoles_417_0.instanceJson.resource_lists[5].roles[0].resources[2].personnel_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='personnel_id')"
ATTCLINONCNF,pref_type_meaning_11414,"${GetLogicalAndSystemPreferencesByMeanings_447_0.instanceJson.preferences[0].pref_type_meaning}","(transName='GetLogicalAndSystemPreferencesByMeanings_608_0', messageId=659991, aliases='pref_type_meaning');(transName='GetLogicalAndSystemPreferencesByMeanings_631_0', messageId=659991, aliases='pref_type_meaning')"
1552514,slot_type_id_9605,"${GetDynamicRoles_417_0.instanceJson.resource_lists[24].roles[0].resources[0].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_id')"
11526747,personnel_id_10145,"${GetDynamicRoles_417_0.instanceJson.resource_lists[50].roles[0].resources[26].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
3006810303,ruleid_2222,"${RetrieveNotificationRuleRelationshipsByTypes_167_0.instanceJson.results[1].notificationrules[44].ruleid}","(transName='GetRuleDetailsByIds_169_0', messageId=130123, aliases='ruleid')"
1629333,list_role_id_9957,"${GetDynamicRoles_417_0.instanceJson.resource_lists[41].roles[0].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='offset_role_id')"
9497519,personnel_id_9622,"${GetDynamicRoles_417_0.instanceJson.resource_lists[24].roles[0].resources[6].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
8353216,personnel_id_9806,"${GetDynamicRoles_417_0.instanceJson.resource_lists[35].roles[0].resources[1].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
8351278,personnel_id_9649,"${GetDynamicRoles_417_0.instanceJson.resource_lists[24].roles[0].resources[20].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
8355635,personnel_id_10410,"${GetDynamicRoles_417_0.instanceJson.resource_lists[64].roles[0].resources[1].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
1629334,list_role_id_9991,"${GetDynamicRoles_417_0.instanceJson.resource_lists[41].roles[1].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id')"
4189852,encntrtypecd_18253,"${GetAppointmentRelatedEncounterTypes_601_0.instanceJson.actionmeanings[0].encountertypecds[1].encntrtypecd}","(transName='GetAppointmentEncounterMatches_602_0', messageId=655237, aliases='encountertypecd');(transName='GetAppointmentEncounterMatches_607_0', messageId=655237, aliases='encountertypecd');(transName='GetAppointmentEncounterMatches_630_0', messageId=655237, aliases='encountertypecd')"
"692 PC Any",mnemonic_9484,"${GetDynamicRoles_417_0.instanceJson.resource_lists[16].roles[0].resources[2].slots[0].mnemonic}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_mnemonic')"
1552522,slot_type_id_10457,"${GetDynamicRoles_417_0.instanceJson.resource_lists[66].roles[0].resources[0].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_id')"
"668 Onc Any",mnemonic_10955,"${GetDynamicRoles_417_0.instanceJson.resource_lists[88].roles[0].resources[0].slots[0].mnemonic}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_mnemonic')"
8351263,personnel_id_10594,"${GetDynamicRoles_417_0.instanceJson.resource_lists[72].roles[0].resources[1].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
10531251,personnel_id_9393,"${GetDynamicRoles_417_0.instanceJson.resource_lists[11].roles[0].resources[1].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
2960411625,external_service_id_4076,"${GetExternalServicesByIds_226_0.instanceJson.external_services[0].external_service_id}","(transName='rca_call_external_service_227_0', messageId=115170, aliases='rca_rule_service_id');(transName='rca_call_external_service_525_0', messageId=115170, aliases='rca_rule_service_id')"
8355608,personnel_id_9626,"${GetDynamicRoles_417_0.instanceJson.resource_lists[24].roles[0].resources[8].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
BEG,offset_type_meaning_9128,"${GetDynamicRoles_417_0.instanceJson.resource_lists[0].roles[1].resources[0].slots[0].offset[0].offset_type_meaning}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_type_meaning');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='offset_type_meaning');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='offset_type_meaning');(transName='GetAppointmentAvailability_590_0', messageId=659961, aliases='offset_type_meaning')"
4189862,racecd_1986,"${RetrievePatientsByIds_132_0.instanceJson.patients[0].person[0].racecd}","(transName='codesdk_get_code_254_0', messageId=3200177, aliases='value')"
12413048,personnel_id_9217,"${GetDynamicRoles_417_0.instanceJson.resource_lists[3].roles[0].resources[23].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
32455481,personnel_id_10537,"${GetDynamicRoles_417_0.instanceJson.resource_lists[68].roles[0].resources[21].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
2960400502,external_service_id_4080,"${GetExternalServicesByIds_228_0.instanceJson.external_services[0].external_service_id}","(transName='rca_call_external_service_229_0', messageId=115170, aliases='rca_rule_service_id');(transName='rca_call_external_service_526_0', messageId=115170, aliases='rca_rule_service_id')"
5558423,list_role_id_9880,"${GetDynamicRoles_417_0.instanceJson.resource_lists[37].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
32455479,personnel_id_10088,"${GetDynamicRoles_417_0.instanceJson.resource_lists[48].roles[0].resources[5].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
5558424,list_role_id_9885,"${GetDynamicRoles_417_0.instanceJson.resource_lists[37].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
1552530,slot_type_id_10407,"${GetDynamicRoles_417_0.instanceJson.resource_lists[64].roles[0].resources[0].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_id')"
"12345 Main StreetKansas City30926854117",stringvalue_2447,"${RetrievePatientsByIds_171_0.instanceJson.patients[0].patient[0].userdefinedattributes[3].stringvalue}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='value');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='string_value');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='string_value');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='string_value');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='value')"
8351254,personnel_id_10596,"${GetDynamicRoles_417_0.instanceJson.resource_lists[72].roles[0].resources[2].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
32854487,personnel_id_10539,"${GetDynamicRoles_417_0.instanceJson.resource_lists[68].roles[0].resources[22].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
1552538,slot_type_id_11072,"${GetDynamicRoles_417_0.instanceJson.resource_lists[91].roles[0].resources[0].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_id')"
111910315,oe_field_id_8972,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[1].oe_field_id}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='oe_field_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='oe_field_id');(transName='GetDynamicRoles_588_0', messageId=659624, aliases='oe_field_id');(transName='GetAppointmentAvailability_590_0', messageId=659961, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_596_0', messageId=659955, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_597_0', messageId=659955, aliases='oe_field_id')"
"538 PC Any",mnemonic_9122,"${GetDynamicRoles_417_0.instanceJson.resource_lists[0].roles[0].resources[0].slots[0].mnemonic}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_mnemonic')"
4371958,personnel_id_9215,"${GetDynamicRoles_417_0.instanceJson.resource_lists[3].roles[0].resources[22].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
10529106,personnel_id_10769,"${GetDynamicRoles_417_0.instanceJson.resource_lists[80].roles[0].resources[5].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
2960406483,external_service_id_4084,"${GetExternalServicesByIds_230_0.instanceJson.external_services[0].external_service_id}","(transName='rca_call_external_service_231_0', messageId=115170, aliases='rca_rule_service_id');(transName='rca_call_external_service_527_0', messageId=115170, aliases='rca_rule_service_id')"
40188252,personnel_id_11189,"${GetDynamicRoles_417_0.instanceJson.resource_lists[97].roles[0].resources[1].personnel_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='personnel_id')"
8353264,personnel_id_9982,"${GetDynamicRoles_417_0.instanceJson.resource_lists[41].roles[0].resources[9].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
8355683,personnel_id_11144,"${GetDynamicRoles_417_0.instanceJson.resource_lists[95].roles[0].resources[1].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
37178088,personnel_id_9223,"${GetDynamicRoles_417_0.instanceJson.resource_lists[3].roles[0].resources[26].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
8353262,personnel_id_10269,"${GetDynamicRoles_417_0.instanceJson.resource_lists[57].roles[0].resources[3].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
46559031,personnel_id_9663,"${GetDynamicRoles_417_0.instanceJson.resource_lists[24].roles[0].resources[27].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
1790275,list_role_id_10003,"${GetDynamicRoles_417_0.instanceJson.resource_lists[42].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
1790274,list_role_id_9996,"${GetDynamicRoles_417_0.instanceJson.resource_lists[42].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
34867690,personnel_id_10104,"${GetDynamicRoles_417_0.instanceJson.resource_lists[49].roles[0].resources[4].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
8355444,personnel_id_10611,"${GetDynamicRoles_417_0.instanceJson.resource_lists[72].roles[0].resources[14].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
8355443,personnel_id_9990,"${GetDynamicRoles_417_0.instanceJson.resource_lists[41].roles[0].resources[13].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
5635329,ruleid_2102,"${RetrieveNotificationRuleRelationshipsByTypes_167_0.instanceJson.results[1].notificationrules[3].ruleid}","(transName='GetRuleDetailsByIds_169_0', messageId=130123, aliases='ruleid')"
9794138,slot_type_id_9529,"${GetDynamicRoles_417_0.instanceJson.resource_lists[20].roles[0].resources[0].slots[2].slot_type_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_id')"
10531671,personnel_id_9574,"${GetDynamicRoles_417_0.instanceJson.resource_lists[22].roles[0].resources[14].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='personnel_id')"
4462867,personnel_id_10786,"${GetDynamicRoles_417_0.instanceJson.resource_lists[81].roles[0].resources[2].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
T_PERDEAD,flex_token_meaning_9011,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[20].flex_token_meaning}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='flex_token_meaning');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='flex_token_meaning');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='flex_token_meaning');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='flex_token_meaning');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='flex_token_meaning');(transName='GetDynamicRoles_588_0', messageId=659624, aliases='flex_token_meaning');(transName='GetAppointmentAvailability_590_0', messageId=659961, aliases='flex_token_meaning');(transName='GetFlexingAppointmentInstructions_596_0', messageId=659955, aliases='flex_token_meaning');(transName='GetFlexingAppointmentInstructions_597_0', messageId=659955, aliases='flex_token_meaning')"
8355673,personnel_id_10412,"${GetDynamicRoles_417_0.instanceJson.resource_lists[64].roles[0].resources[2].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
1790268,list_role_id_9788,"${GetDynamicRoles_417_0.instanceJson.resource_lists[34].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
3006808435,ruleid_2219,"${RetrieveNotificationRuleRelationshipsByTypes_167_0.instanceJson.results[1].notificationrules[43].ruleid}","(transName='GetRuleDetailsByIds_169_0', messageId=130123, aliases='ruleid')"
1790262,list_role_id_9509,"${GetDynamicRoles_417_0.instanceJson.resource_lists[19].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
5399932,list_role_id_10203,"${GetDynamicRoles_417_0.instanceJson.resource_lists[53].roles[1].list_role_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='role_id')"
5399931,list_role_id_10195,"${GetDynamicRoles_417_0.instanceJson.resource_lists[53].roles[0].list_role_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='role_id')"
1790263,list_role_id_9515,"${GetDynamicRoles_417_0.instanceJson.resource_lists[19].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
1622506,list_role_id_11093,"${GetDynamicRoles_417_0.instanceJson.resource_lists[91].roles[1].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id')"
8355438,personnel_id_11146,"${GetDynamicRoles_417_0.instanceJson.resource_lists[95].roles[0].resources[2].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
1622505,list_role_id_11069,"${GetDynamicRoles_417_0.instanceJson.resource_lists[91].roles[0].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='offset_role_id')"
111910323,oe_field_id_8994,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[12].oe_field_id}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='oe_field_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='oe_field_id')"
4630243,slot_type_id_9339,"${GetDynamicRoles_417_0.instanceJson.resource_lists[9].roles[0].resources[0].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_id')"
"ABL_SCHEDAPPT_ML_GRP10_A11",username_37,"${CrmBeginApp_12_0.instanceJson.clientreqinfo.username}","(transName='CrmBeginApp_38_0', messageId=6090, aliases='username')"
1790269,list_role_id_9794,"${GetDynamicRoles_417_0.instanceJson.resource_lists[34].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
29195451,personnel_id_10921,"${GetDynamicRoles_417_0.instanceJson.resource_lists[86].roles[0].resources[14].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
9358371,personnel_id_9612,"${GetDynamicRoles_417_0.instanceJson.resource_lists[24].roles[0].resources[1].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
1622500,list_role_id_10935,"${GetDynamicRoles_417_0.instanceJson.resource_lists[86].roles[1].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id')"
3006895726,ruleid_2231,"${RetrieveNotificationRuleRelationshipsByTypes_167_0.instanceJson.results[1].notificationrules[47].ruleid}","(transName='GetRuleDetailsByIds_169_0', messageId=130123, aliases='ruleid')"
1564701,slot_type_id_9435,"${GetDynamicRoles_417_0.instanceJson.resource_lists[14].roles[0].resources[0].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_id')"
111219141,oe_field_id_8987,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[8].oe_field_id}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='oe_field_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='oe_field_id');(transName='GetDynamicRoles_588_0', messageId=659624, aliases='oe_field_id');(transName='GetAppointmentAvailability_590_0', messageId=659961, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_596_0', messageId=659955, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_597_0', messageId=659955, aliases='oe_field_id')"
1790293,list_role_id_10654,"${GetDynamicRoles_417_0.instanceJson.resource_lists[75].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
1564703,slot_type_id_10062,"${GetDynamicRoles_417_0.instanceJson.resource_lists[46].roles[0].resources[0].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_id')"
1790292,list_role_id_10645,"${GetDynamicRoles_417_0.instanceJson.resource_lists[75].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
41990852,personnel_id_9655,"${GetDynamicRoles_417_0.instanceJson.resource_lists[24].roles[0].resources[23].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
5399921,list_role_id_9705,"${GetDynamicRoles_417_0.instanceJson.resource_lists[27].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
19961385,personnel_id_10831,"${GetDynamicRoles_417_0.instanceJson.resource_lists[82].roles[0].resources[17].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
971731911,field_4090,"${GetExternalServicesByIds_232_0.instanceJson.external_services[0].external_service_parameters[0].field}","(transName='rca_call_external_service_233_0', messageId=115170, aliases='string_value');(transName='rca_call_external_service_529_0', messageId=115170, aliases='string_value')"
1622518,list_role_id_11064,"${GetDynamicRoles_417_0.instanceJson.resource_lists[90].roles[1].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id')"
10531435,personnel_id_10061,"${GetDynamicRoles_417_0.instanceJson.resource_lists[46].roles[0].resources[0].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
1622517,list_role_id_11035,"${GetDynamicRoles_417_0.instanceJson.resource_lists[90].roles[0].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='offset_role_id')"
10531676,personnel_id_10358,"${GetDynamicRoles_417_0.instanceJson.resource_lists[61].roles[0].resources[2].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
8353247,personnel_id_10406,"${GetDynamicRoles_417_0.instanceJson.resource_lists[64].roles[0].resources[0].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
8355665,personnel_id_9820,"${GetDynamicRoles_417_0.instanceJson.resource_lists[35].roles[0].resources[13].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
1622512,list_role_id_9875,"${GetDynamicRoles_417_0.instanceJson.resource_lists[36].roles[1].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id')"
25341085,double_value_8970,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[0].double_value}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='value');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='token_value');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='token_value');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='token_value');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='value');(transName='GetDynamicRoles_588_0', messageId=659624, aliases='value');(transName='GetAppointmentAvailability_590_0', messageId=659961, aliases='token_value');(transName='GetFlexingAppointmentInstructions_596_0', messageId=659955, aliases='value');(transName='GetFlexingAppointmentInstructions_597_0', messageId=659955, aliases='value')"
1622511,list_role_id_9843,"${GetDynamicRoles_417_0.instanceJson.resource_lists[36].roles[0].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='offset_role_id')"
3511070,healthplanid_2466,"${RetrievePatientsByIds_171_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].subscriberhealthplaninformation[0].healthplanid}","(transName='EEM_GET_HEALTHPLAN_BY_ID_464_0', messageId=4135919, aliases='entity_id');(transName='AdmitEncounter_477_0', messageId=115551, aliases='healthplanid')"
111910309,oe_field_id_8985,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[7].oe_field_id}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='oe_field_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='oe_field_id')"
1790280,list_role_id_9149,"${GetDynamicRoles_417_0.instanceJson.resource_lists[2].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
